,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_bins,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.0740156173706055,0.09123869925788072,0.1267338752746582,0.003505319236912416,0.0010091445141768977,0.043907742525374605,8,23,1,"{'classifier__l2_regularization': np.float64(0.0010091445141768977), 'classifier__learning_rate': np.float64(0.043907742525374605), 'classifier__max_bins': np.int64(8), 'classifier__max_leaf_nodes': np.int64(23), 'classifier__min_samples_leaf': np.int64(1)}",0.8405896001091852,0.8514878514878514,0.8437073437073437,0.8408408408408409,0.8457548457548457,0.8444760963800133,0.003992764115895408,117
1,1.6204012870788573,0.062423079293002344,0.13983464241027832,0.007693605626662897,209.2598666603398,0.13501061955762902,4,93,48,"{'classifier__l2_regularization': np.float64(209.2598666603398), 'classifier__learning_rate': np.float64(0.13501061955762902), 'classifier__max_bins': np.int64(4), 'classifier__max_leaf_nodes': np.int64(93), 'classifier__min_samples_leaf': np.int64(48)}",0.81684181793367,0.8161343161343161,0.8142233142233142,0.8143598143598143,0.8196833196833196,0.8162485164668869,0.0019915602556134413,205
2,0.52579665184021,0.011946142883075609,0.08218655586242676,0.005079083811294535,190.95715560743318,0.014237625589007949,75,2,1,"{'classifier__l2_regularization': np.float64(190.95715560743318), 'classifier__learning_rate': np.float64(0.014237625589007949), 'classifier__max_bins': np.int64(75), 'classifier__max_leaf_nodes': np.int64(2), 'classifier__min_samples_leaf': np.int64(1)}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,312
3,0.3870850563049316,0.08028772062792024,0.07672924995422363,0.022989414298900734,0.12115905861676439,1.7399754871647446,5,3,6,"{'classifier__l2_regularization': np.float64(0.12115905861676439), 'classifier__learning_rate': np.float64(1.7399754871647446), 'classifier__max_bins': np.int64(5), 'classifier__max_leaf_nodes': np.int64(3), 'classifier__min_samples_leaf': np.int64(6)}",0.7865429234338747,0.7794157794157794,0.7790062790062791,0.5743925743925744,0.5855855855855856,0.7009886283668187,0.09889543205062118,444
4,0.5189303874969482,0.08558374263681034,0.08593435287475586,0.012194546361507439,459.4174806134861,4.10186915345476,3,186,7,"{'classifier__l2_regularization': np.float64(459.4174806134861), 'classifier__learning_rate': np.float64(4.10186915345476), 'classifier__max_bins': np.int64(3), 'classifier__max_leaf_nodes': np.int64(186), 'classifier__min_samples_leaf': np.int64(7)}",0.670806605704927,0.7447447447447447,0.6455091455091455,0.689052689052689,0.7401037401037401,0.6980433850230493,0.03881394479392361,447
5,0.58388352394104,0.10424320119255462,0.06190237998962402,0.0022784423160706253,14.542675925550565,0.32726039080368785,2,73,12,"{'classifier__l2_regularization': np.float64(14.542675925550565), 'classifier__learning_rate': np.float64(0.32726039080368785), 'classifier__max_bins': np.int64(2), 'classifier__max_leaf_nodes': np.int64(73), 'classifier__min_samples_leaf': np.int64(12)}",0.8038760747918657,0.803985803985804,0.8045318045318045,0.7974337974337974,0.8043953043953044,0.8028445570277152,0.002716409926296805,241
6,0.6276346683502197,0.013463188022768321,0.0959397315979004,0.009252823854247857,0.00026979721665415485,0.002097286733615963,25,4,10,"{'classifier__l2_regularization': np.float64(0.00026979721665415485), 'classifier__learning_rate': np.float64(0.002097286733615963), 'classifier__max_bins': np.int64(25), 'classifier__max_leaf_nodes': np.int64(4), 'classifier__min_samples_leaf': np.int64(10)}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,312
7,0.26769323348999025,0.007728423712712474,0.04880051612854004,0.0012343125003747674,66.63580706016668,2.68495679496954,2,28,82,"{'classifier__l2_regularization': np.float64(66.63580706016668), 'classifier__learning_rate': np.float64(2.68495679496954), 'classifier__max_bins': np.int64(2), 'classifier__max_leaf_nodes': np.int64(28), 'classifier__min_samples_leaf': np.int64(82)}",0.7481916200354852,0.7432432432432432,0.7821457821457821,0.7285012285012284,0.7592137592137592,0.7522591266278997,0.01791003952497716,419
8,0.42920947074890137,0.023661186178483815,0.05777449607849121,0.0025446649138571105,0.022114374067932957,0.49980920462017525,131,72,1,"{'classifier__l2_regularization': np.float64(0.022114374067932957), 'classifier__learning_rate': np.float64(0.49980920462017525), 'classifier__max_bins': np.int64(131), 'classifier__max_leaf_nodes': np.int64(72), 'classifier__min_samples_leaf': np.int64(1)}",0.855602565852327,0.8613158613158614,0.8558558558558559,0.8501228501228502,0.8574938574938575,0.8560781981281504,0.0036105135124994176,52
9,0.7495287418365478,0.011175544211228731,0.1105051040649414,0.0026154644139072362,248.94542807205758,0.008770691894601857,160,9,1,"{'classifier__l2_regularization': np.float64(248.94542807205758), 'classifier__learning_rate': np.float64(0.008770691894601857), 'classifier__max_bins': np.int64(160), 'classifier__max_leaf_nodes': np.int64(9), 'classifier__min_samples_leaf': np.int64(1)}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,312
