Edad,HorasTrabajo,HorasEstudio,RendimientoProgramacion,TiempoHogarEscuela,HorasDeSueno,TiempoEjercicioSemana,ConsumoCafeina,ConsumoCafe,ConsumoBebidaAzucarada,UsoVideojuegos,PensamientoLogico1,PensamientoLogico2,PensamientoLogico3,PensamientoLogico4,ResilienciaFrustracion1,ResilienciaFrustracion2,ResilienciaFrustracion3,ResilienciaFrustracion4,ResilienciaFrustracion5,Genero_Femenino,Genero_Masculino,Genero_Prefiero no decirlo,DescalcificacionEnGestacion_No,DescalcificacionEnGestacion_No lo sé,DescalcificacionEnGestacion_Sí,ConsumioOmega3_No,ConsumioOmega3_No lo sé,ConsumioOmega3_Sí,FamiliaDisfuncional_No,FamiliaDisfuncional_Sí,FamiliaDisfuncional_Tal vez,AhorroEnInfancia,TrabajoEnInfancia,TipoEscuelaPrevia_Escuela privada (colegios),TipoEscuelaPrevia_Escuela pública,ExperienciaPrevia,DietaBalanceada_A veces,DietaBalanceada_No,DietaBalanceada_Sí,ConsumeEstupefaciente,ConsumeEstupefacienteControl,MedicadoPrevioCarrera,ActividadesEnInfancia_JuegoFisico,ActividadesEnInfancia_JuegoCreativo,ActividadesEnInfancia_JuegoSimbolico,ActividadesEnInfancia_JuegoTecnologico,ActividadesEnInfancia_ActividadesSocioCulturales,ExperienciaPreviaLogica_Ajedrez,ExperienciaPreviaLogica_Debate,ExperienciaPreviaLogica_Filosofia,ExperienciaPreviaLogica_Matematicas,MetodoDeEstudio_MapasConceptuales,MetodoDeEstudio_Resumenes,MetodoDeEstudio_Lectura,MetodoDeEstudio_Ejercicios,MetodoDeEstudio_VideosTutoriales,ActividadesExtra_Laborales,ActividadesExtra_TareasHogar,ActividadesExtra_CuidadoFamiliar,ActividadesExtra_CompromisoSocial,NivelIngles_Avanzado,NivelIngles_Básico,NivelIngles_Intermedio,NivelIngles_Nativo,NivelInstrumentoMusical_Avanzado,NivelInstrumentoMusical_Intermedio,NivelInstrumentoMusical_No sé tocar un instrumento,NivelInstrumentoMusical_Novato,UsoHerramientasIA_A veces (pocas veces al mes),UsoHerramientasIA_Diariamente,UsoHerramientasIA_Frecuentemente (varias veces por semana),UsoHerramientasIA_Nunca,TipoAprendizaje_Auditivo (prefiero escuchar explicaciones),"TipoAprendizaje_Kinestésico (prefiero hacer las cosas, practicar)","TipoAprendizaje_Visual (prefiero diagramas, videos)",anomaly,anomaly_score,is_anomaly
18.0,0.0,2.0,4.0,2.0,6.0,2.0,0.0,1.0,1.0,4.0,8.0,19.0,615.0,72.0,4.0,3.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.050405031234215136,0
19.0,0.0,4.0,2.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,19.0,19.0,2.0,72.0,4.0,3.0,4.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.05516974324206747,0
18.0,0.0,5.0,6.0,2.0,7.0,2.0,13.0,1.0,1.0,2.0,19.0,20.0,2.0,14.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.11923936400100621,0
18.0,0.0,2.0,9.0,2.0,6.0,1.0,0.0,1.0,2.0,1.0,19.0,13.0,2.0,9.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0766285240141219,0
18.0,0.0,2.0,4.0,2.0,6.0,0.0,2.0,0.0,1.0,4.0,19.0,19.0,2.0,22.5,4.0,5.0,2.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.1092301430444329,0
19.0,0.0,3.0,5.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,19.0,7.0,16.0,19.0,4.0,4.0,3.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.07127785405562942,0
39.0,10.0,2.0,2.0,1.0,4.0,0.0,20.0,2.0,5.0,1.0,19.0,19.0,18.0,14.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1,-0.010063313523168693,1
18.0,0.0,1.0,2.0,1.0,6.0,0.0,1.0,0.0,1.0,10.0,19.0,19.0,2.0,14.0,3.0,5.0,3.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.09494518284011227,0
18.0,0.0,2.0,6.0,2.0,7.0,1.0,2.0,0.0,3.0,0.0,19.0,19.0,54.0,9.0,5.0,3.0,3.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.04848169643324818,0
19.0,0.0,3.0,5.0,3.0,8.0,17.0,0.0,2.0,1.0,12.0,19.0,19.0,5.0,7.0,3.0,4.0,3.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.11361181039914692,0
18.0,0.0,2.0,2.0,2.0,10.0,0.0,0.0,1.0,1.0,3.0,11.0,7.0,15.0,20.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.011840984614261862,0
18.0,5.0,3.0,8.0,1.0,7.0,4.0,4.0,0.0,0.0,2.0,19.0,19.0,2.0,72.0,4.0,4.0,5.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.09277056306935866,0
21.0,0.0,10.0,8.0,1.0,5.0,0.0,0.0,1.0,0.0,30.0,19.0,19.0,2.0,9.0,5.0,4.0,5.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0764818918007204,0
18.0,0.0,2.0,3.0,3.0,7.0,0.0,2.0,0.0,0.0,10.0,11.0,19.0,16.0,14.0,4.0,5.0,4.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0796187234659273,0
22.0,4.0,3.0,2.0,1.0,4.0,6.0,0.0,0.0,1.0,2.0,19.0,19.0,2.0,9.0,3.0,5.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.07908062989658549,0
22.0,0.0,1.0,7.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,11.0,19.0,2.0,14.0,4.0,4.0,4.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.11559557672061321,0
19.0,0.0,3.0,5.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,19.0,19.0,1.0,14.0,3.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.08312921338683582,0
18.0,0.0,2.0,5.0,1.0,5.0,6.0,1.0,1.0,1.0,0.0,19.0,19.0,2.0,14.0,4.0,5.0,3.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.09609164264350151,0
