,Genero_Femenino,Genero_Masculino,Genero_Prefiero no decirlo,Edad,HorasTrabajo,GiroTrabajo,AreaDeEstudio,DescalcificacionEnGestacion_No,DescalcificacionEnGestacion_No lo sé,DescalcificacionEnGestacion_Sí,ConsumioOmega3_No,ConsumioOmega3_No lo sé,ConsumioOmega3_Sí,FamiliaDisfuncional_No,FamiliaDisfuncional_Sí,FamiliaDisfuncional_Tal vez,ActividadesEnInfancia_JuegoFisico,ActividadesEnInfancia_JuegoCreativo,ActividadesEnInfancia_JuegoSimbolico,ActividadesEnInfancia_JuegoTecnologico,ActividadesEnInfancia_ActividadesSocioCulturales,AhorroEnInfancia,ComprasEnInfancia,TrabajoEnInfancia,LugarDeDesarrollo,TipoEscuelaPrevia_Escuela privada (colegios),TipoEscuelaPrevia_Escuela pública,ExperienciaPrevia,HorasEstudio,RendimientoProgramacion,UsoHerramientasIA_A veces (pocas veces al mes),UsoHerramientasIA_Diariamente,UsoHerramientasIA_Frecuentemente (varias veces por semana),UsoHerramientasIA_Nunca,MotivacionPrincipal,ExperienciaPreviaLogica_Ajedrez,ExperienciaPreviaLogica_Debate,ExperienciaPreviaLogica_Filosofia,ExperienciaPreviaLogica_Matematicas,NivelIngles_Avanzado,NivelIngles_Básico,NivelIngles_Intermedio,NivelIngles_Nativo,MetodoDeEstudio_MapasConceptuales,MetodoDeEstudio_Resumenes,MetodoDeEstudio_Lectura,MetodoDeEstudio_Ejercicios,MetodoDeEstudio_VideosTutoriales,TiempoHogarEscuela,MedioTransporte,HorasDeSueno,TiempoEjercicioSemana,ConsumoCafeina,ConsumoCafe,ConsumoBebidaAzucarada,DietaBalanceada_A veces,DietaBalanceada_No,DietaBalanceada_Sí,ActividadesExtra_Laborales,ActividadesExtra_TareasHogar,ActividadesExtra_CuidadoFamiliar,ActividadesExtra_CompromisoSocial,ConsumeEstupefaciente,ConsumeEstupefacienteControl,MedicadoPrevioCarrera,UsoVideojuegos,GeneroVideojuegoFav,MateriaFavoritaPrimaria_Ciencias Naturales,"MateriaFavoritaPrimaria_Ciencias Sociales (Historia, Geografía)",MateriaFavoritaPrimaria_Educación Artística,MateriaFavoritaPrimaria_Educación Física,MateriaFavoritaPrimaria_Español (Lengua),MateriaFavoritaPrimaria_Inglés,MateriaFavoritaPrimaria_Matemáticas,MateriaFavoritaPrimaria_Música,MateriaFavoritaPrimaria_Programación,MateriaFavoritaPrimaria_fisica,MateriaFavoritaPrimaria_ninguna,DeporteFavoritoVer,DeporteFavoritoPracticar,NivelInstrumentoMusical_Avanzado,NivelInstrumentoMusical_Intermedio,NivelInstrumentoMusical_No sé tocar un instrumento,NivelInstrumentoMusical_Novato,InstrumentoMusical,TipoAprendizaje_Auditivo (prefiero escuchar explicaciones),"TipoAprendizaje_Kinestésico (prefiero hacer las cosas, practicar)","TipoAprendizaje_Visual (prefiero diagramas, videos)",PensamientoLogico1,PensamientoLogico2,PensamientoLogico3,PensamientoLogico4,ResilienciaFrustracion1,ResilienciaFrustracion2,ResilienciaFrustracion3,ResilienciaFrustracion4,ResilienciaFrustracion5,anomaly_score
50,0,1,0,21,0,"Retail y atención al cliente (tiendas departamentales, supermercados, boutiques, tiendas de electrónica, cajero, vendedor de piso)",Electromecanica,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,,0,Jardines del country,0,1,1,34,0,0,0,0,1,Requisito académico/laboral,1,0,0,0,0,1,0,0,1,1,0,0,0,3,En carro (manejo),5,20,0,0,0,0,0,1,0,1,0,0,1,1,0,45,FPS (Disparos),0,0,0,0,0,0,1,0,0,0,0,Fútbol Soccer,Baloncesto,0,0,1,0,Batería,1,0,0,23.0,3.0,5.0,4.0,2,1,2,5,5,-0.04155941629038995
72,0,1,0,22,0,"Retail y atención al cliente (tiendas departamentales, supermercados, boutiques, tiendas de electrónica, cajero, vendedor de piso)",,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,500,0,Benito Juarez,1,0,1,34,9,1,0,0,0,Pasión/Curiosidad intelectual,0,0,0,1,0,0,1,0,1,1,0,0,0,4,Transporte público,5,0,0,0,0,0,0,1,1,0,1,1,1,0,0,23,Estrategia,0,0,0,0,0,0,1,0,0,0,0,Ajedrez,Baloncesto,0,0,1,0,"Flauta, Oboe",0,0,1,1.0,4.0,10.0,4.0,2,4,5,1,5,-0.03276293985836687
16,0,1,0,39,10,"Soporte técnico (instalación de software, asistencia en fallas simples de equipos, configuración de redes pequeñas, atención de tickets de TI)",Estudios políticos y gobierno,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,Dispositivos electrónicos,1,Lomas de Zapopan,1,0,0,2,2,0,0,1,0,Oportunidades laborales/Salario,1,1,1,0,0,0,1,0,1,1,1,0,1,1,En carro (manejo),4,0,20,2,5,0,0,1,1,1,1,1,1,1,0,1,Estrategia,0,0,0,0,0,0,1,0,0,0,0,Ninguno,Natación,0,0,0,1,"Piano, Teclado, Sintetizador",0,0,1,19.0,19.0,18.0,14.0,5,5,5,5,5,-0.010063313523168693
82,0,0,1,25,8,mantenimiento industrial,electronica,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,comida o motores electricos,0,polanco 1/2 y sansebastianito 1/2,1,0,0,2,2,1,0,0,0,Pasión/Curiosidad intelectual,0,1,1,0,0,0,1,0,0,0,1,0,0,2,Motocicleta,8,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,metroidvania,0,0,0,0,0,0,0,0,0,1,0,Ninguno,voleibol,0,0,1,0,,0,0,1,19.0,19.0,2.0,14.0,4,5,3,5,4,-0.0005855128397936893
